blockIdx,trialIdx,scheduledHt,scheduledRwd,spentHt,responseBlockTime,trialEarnings,responseRT,blockTime,
2,13,28,1,0,188.9999999998281,0,1.0,190.9999999998263,
2,14,28,1,0,199.74999999981833,0,0.75,201.99999999981628,
2,15,28,1,0,210.88333333314154,0,0.8833333333333333,212.99999999980628,
2,16,22,3,0,223.18333333313035,0,2.183333333333333,223.99999999979627,
2,17,40,1,0,232.88333333312153,0,0.8833333333333333,234.99999999978627,
2,18,28,3,0,243.84999999977822,0,0.85,245.99999999977626,
2,19,28,3,0,254.94999999976812,0,0.95,256.99999999976626,
2,20,28,1,0,265.9166666664248,0,0.9166666666666666,267.99999999975626,
2,21,2,3,2,277.0333333330814,3,1.0333333333333332,280.99999999974443,
2,22,28,3,0,289.96666666640294,0,0.9666666666666667,291.9999999997344,
2,23,28,1,0,300.99999999972624,0,1.0,302.9999999997244,
2,24,2,3,2,311.9499999997163,3,0.95,315.9999999997126,
2,25,28,3,0,324.94999999970446,0,0.95,326.9999999997026,
2,26,28,1,0,336.3833333330274,0,1.3833333333333333,337.9999999996926,
2,27,40,1,0,346.9333333330178,0,0.9333333333333333,348.9999999996826,
2,28,22,1,22,359.0666666663401,1,2.0666666666666664,381.9999999996526,
2,29,28,3,0,390.8833333329778,0,0.8833333333333333,392.99999999964257,
2,30,2,1,2,401.76666666630126,1,0.7666666666666666,405.99999999963075,
2,31,28,1,0,414.9166666662893,0,0.9166666666666666,416.99999999962074,
2,32,40,3,0,425.96666666627925,0,0.9666666666666667,427.99999999961074,
2,33,28,1,0,436.9833333329359,0,0.9833333333333333,438.99999999960073,
2,34,28,1,0,447.93333333292594,0,0.9333333333333333,449.9999999995907,
2,35,22,1,22,459.4333333329155,1,1.4333333333333333,482.9999999995607,
2,36,40,1,0,491.74999999955276,0,0.75,493.9999999995507,
2,37,28,1,0,502.8666666662093,0,0.8666666666666667,504.9999999995407,
2,38,22,3,0,514.0166666661992,0,1.0166666666666666,515.9999999995307,
2,39,28,3,0,524.8999999995226,0,0.9,526.9999999995207,
2,40,28,3,0,535.783333332846,0,0.7833333333333333,537.9999999995107,
2,41,28,3,0,546.8499999995026,0,0.85,548.9999999995007,
2,42,2,3,2,557.8833333328259,3,0.8833333333333333,561.9999999994889,
2,43,28,1,0,571.0666666661473,0,1.0666666666666667,572.9999999994789,
2,44,40,1,0,581.9333333328041,0,0.9333333333333333,583.9999999994689,
2,45,28,3,0,592.8499999994608,0,0.85,594.9999999994589,
2,46,28,3,0,604.2666666661171,0,1.2666666666666666,605.9999999994488,
2,47,22,3,22,615.033333332774,3,1.0333333333333332,638.9999999994188,
2,48,28,3,0,648.4499999994102,0,1.45,649.9999999994088,
2,49,2,1,2,658.9166666660674,1,0.9166666666666666,662.999999999397,
2,50,28,1,0,671.8166666660557,0,0.8166666666666667,673.999999999387,
2,51,28,1,0,683.0999999993787,0,1.1,684.999999999377,
2,52,22,1,0,695.999999999367,-2,nan,695.999999999367,
2,53,28,3,0,704.7666666660257,0,0.7666666666666666,706.999999999357,
2,54,40,3,0,715.8833333326822,0,0.8833333333333333,717.999999999347,
2,55,2,1,2,726.6666666660058,1,0.6666666666666666,730.9999999993352,
2,56,28,3,0,739.8333333326605,0,0.8333333333333334,741.9999999993252,
2,57,2,1,2,750.7666666659838,1,0.7666666666666666,754.9999999993133,
2,58,40,3,0,763.8833333326386,0,0.8833333333333333,765.9999999993033,
2,59,22,1,22,775.3333333326282,1,1.3333333333333333,798.9999999992733,
2,60,28,3,0,808.0166666659318,0,1.0166666666666666,809.9999999992633,
2,61,28,1,0,819.1333333325883,0,1.1333333333333333,820.9999999992533,
2,62,28,1,0,829.9999999992451,0,1.0,831.9999999992433,
2,63,28,1,0,840.7499999992353,0,0.75,842.9999999992333,
2,64,28,1,0,852.1999999992249,0,1.2,853.9999999992233,
2,65,40,1,0,862.8333333325486,0,0.8333333333333334,864.9999999992133,
2,66,2,3,2,874.1999999992049,3,1.2,877.9999999992015,
2,67,28,3,0,887.6666666658593,0,1.6666666666666667,888.9999999991915,
2,68,28,3,0,898.0833333325165,0,1.0833333333333333,899.9999999991815,
